ids,titles,Date
36OzeRwP-SU,VLOG: 30 Week Bumpdate &amp; New Spring Clothing Line Photoshoot!,2021-04-18 17:03:20+00:00
Mx8fUvGsup4,GENDER REVEAL | We are having a....,2021-03-20 19:15:10+00:00
ORPooH5KVWo,Testing Old Wives Tales + Spring Clothing Line Preview!,2021-03-18 01:48:40+00:00
6sH56AdVO20,"VLOG: thrift haul, the met, apt. decor &amp; nursery updates!",2021-03-14 23:48:09+00:00
gqEfWIkM9rk,"VLOG: organizing kitchen, getting our stroller + baby bump photos!",2021-03-01 01:03:00+00:00
Cq_vBjFCKH0,"VLOG: 20 Week Pregnancy Update, making cake craving + new clothing launch!",2021-02-12 00:04:57+00:00
cNCNJcoCfhs,OOTW: Casual Everyday Outfits | baby bump friendly!,2021-02-01 00:01:34+00:00
sdIepdlEUXw,"VLOG: bumpdate, nursery plans &amp; new backyard roses!",2021-01-18 00:28:42+00:00
oyRzZvFRvBs,"VLOG: decorating new apartment, clothing haul &amp; baking cookies!",2020-12-18 18:31:43+00:00
WL464WUunhg,WE MOVED...again | Empty Apartment Tour &amp; Moving Vlog!,2020-12-03 21:06:27+00:00
5Fn3rjFECZE,"TRY ON CLOTHING HAUL | Zara, Verge Girl, Depop &amp; More!",2020-11-09 18:05:19+00:00
tA6NYZhxvZA,"VLOG: Work Day, Target Challenge &amp; Rooftop Movie Night!",2020-11-01 23:43:32+00:00
OToPqOJrIi0,BACKYARD ROSES | Fall Collection Try-On Haul!,2020-10-05 02:32:07+00:00
qY0dR8IufDY,"VLOG: the Catskills, cooking &amp; finally back together!",2020-09-23 17:00:31+00:00
vWhh7FKhRU8,"VLOG: mini haul, work day &amp; clothing line photoshoot!",2020-09-20 18:56:43+00:00
_tQ9s-m-RuA,End of Summer OOTW | how I style my line!,2020-09-06 23:58:23+00:00
KkF4B_7FOag,INTRODUCING MY CLOTHING LINE | Backyard Roses,2020-08-24 01:46:12+00:00
3-tCldz2Yyw,"VLOG: life update, mini home haul &amp; park dates!",2020-08-20 01:28:41+00:00
cUSVWYhiU10,Get Un-Ready With Me | how I cleared my skin- before &amp; after!,2020-07-29 19:16:17+00:00
atqH0hMybuM,NYC APARTMENT TOUR | 1 Bedroom in Brooklyn,2020-07-27 00:08:26+00:00
Y2-ASJlNV0o,GET THE LOOK: Husband Edition | turning him into his look-alikes?!,2020-06-14 19:15:02+00:00
5RPPXMxluqk,DAY IN MY LIFE | NYC Home Office Makeover!,2020-05-17 17:36:52+00:00
cYOBk-Zo8ZU,WHAT I ATE TODAY | Cook With Me!,2020-05-09 21:55:59+00:00
yeWCH8eXKGY,DAY IN MY LIFE | making brunch &amp; building a fort!,2020-04-27 23:37:20+00:00
g7iPhd6OzzI,DAY IN MY LIFE | trying whipped coffee &amp; decorating new apartment!,2020-04-12 19:25:08+00:00
RLUCsHHLLUE,RECREATING VIRAL TIK TOKS w/ husband &amp; friends,2020-04-04 23:00:22+00:00
K4QpcCDbPg0,SPRING OUTFITS | Styling My Essentials,2020-03-15 19:04:03+00:00
meMzBn00P30,NYC MOVING VLOG | Our New Apartment!,2020-03-08 17:45:17+00:00
tBt2FtKXWMc,Honeymoon Recap + Apartment Hunting in NYC,2020-02-14 23:05:53+00:00
cC1DC6tFbJA,Self-Care Sunday | simple things I do to have a great week!,2020-01-14 00:06:43+00:00
wEdcVj1eUa4,"NYE Chit Chat GRWM | Changes, Babies, New Hair &amp; More!",2020-01-06 03:37:19+00:00
X6Qh8BPgS5Q,"1 Sweater, 4 Ways | Easy Outfit Ideas",2019-12-10 22:15:43+00:00
4UEr5cj7Bls,WEEKEND IN MY LIFE: Exploring a New Cruise Ship,2019-12-06 00:55:08+00:00
wi-AmgCKcg8,VLOG: Friendsgiving Weekend + Meeting the Jonas Brothers,2019-12-04 00:29:45+00:00
zio0GATDZ3A,"GIRL TALK: Jealousy, Ex&#39;s, Friendship Advice &amp; More!",2019-11-24 19:08:12+00:00
HY0C4TX06wc,TRY ON CLOTHING HAUL | Fall to Winter Transition,2019-11-18 23:37:04+00:00
