ids,titles,Date
5m-zkIF84r4,I Tried the World&#39;s Deadliest Game in Afghanistan,2021-04-23 14:00:03+00:00
b9klXEmTNqc,Risking Her Life to Play Sports in Afghanistan,2021-04-17 11:22:41+00:00
AmGaZ9NqD50,I Partied in Afghanistan (Taliban Banned This),2021-04-10 13:53:34+00:00
0f5F6zcjf2I,Inside a Village Guesthouse in AFGHANISTAN,2021-04-02 14:53:05+00:00
gOChk-crMQM,What’s it REALLY Like as a Tourist in AFGHANISTAN,2021-03-27 09:00:58+00:00
GX9MjxeNGiE,Solo Female Traveller in Afghanistan (What is Kabul Like),2021-03-20 10:12:13+00:00
78n8IZ2nI2A,I Share My Husband with 2 Other Wives (Maasai Marriage Story),2021-03-06 09:00:06+00:00
gC-_Iw3DwLA,The END of Travel Vlogging? (LIFE UPDATES),2021-02-27 12:15:04+00:00
SQRpnivWz2A,5 Days Trekking with the MAASAI in Tanzania,2021-02-15 12:00:07+00:00
645jl4Aj4T8,I Tried to Climb Africa&#39;s Tallest Mountain (Kilimanjaro),2021-02-05 14:30:10+00:00
7_zstiwA4NQ,Inside a Remote Village in Bangladesh (How People Live),2021-01-30 10:00:06+00:00
7KobMsd7jLw,Running a Marathon in Yemen (&amp; BIG 2021 News),2021-01-16 12:12:51+00:00
MYDsjJivU8s,BEAUTIFUL Pakistani Wedding in the Mountains (Super Rare),2021-01-03 13:00:04+00:00
gSKnFpQwKBA,I Became a Traditional Bride in Kosovo for 1 Day,2020-12-27 12:00:10+00:00
MPb_Ybh9uAo,Inside an Albanian Village Guesthouse,2020-12-20 15:41:37+00:00
R4xfHIZ6TQM,Trekking 2 Days Alone in ALBANIA,2020-12-13 14:51:47+00:00
vQXOx9ECi5E,I Stayed with a Nomadic Family in the Sahara (Mauritania),2020-12-05 12:00:16+00:00
Y4EABGSesk8,24 Hours on a CARGO TRAIN in the Sahara Desert,2020-11-21 13:59:20+00:00
iFsLo3LLzqs,What travel is really like in 2020 (Serbia border crossing),2020-11-15 12:18:01+00:00
NbZWLfecaXQ,Tourists Don&#39;t Come Here (Stranger&#39;s Invitation),2020-11-08 13:00:05+00:00
rdvl4V4AZQ4,Girl Sleeps Alone in the Forest for the 1st Time,2020-11-01 13:57:00+00:00
vrJpDpAe_Z8,Girl&#39;s Guide to Making a Fire (Easy Steps),2020-10-25 11:00:20+00:00
OQy2QNomJZk,Inside an Eastern European Village (How People Live),2020-10-18 12:00:08+00:00
m9o8pNRee6o,Everything Is Changing. (Life Updates),2020-10-11 11:00:10+00:00
4XToBtxW_JI,Trying to Survive a Shepherd Life in the Mountains,2020-10-04 12:00:03+00:00
sGGS0SvpdHo,The ROMANIA You Didn&#39;t Know Existed (What Media Won&#39;t Show You),2020-09-24 13:00:12+00:00
3O36yN_4bMU,"Cycling Across a WHOLE COUNTRY Alone, With Paper Maps Only",2020-09-07 15:08:32+00:00
oPfAyh0612E,Living with a Local Family in a Moroccan Village (Amazigh People),2020-08-09 15:58:31+00:00
4n9x2n7LL9E,Living with Family in Mongolia (CAMEL HERDERS),2020-08-01 17:26:48+00:00
nKD30jCDBzI,7 Days Horse Trekking ALONE in Mongolia,2020-07-17 16:21:54+00:00
124xrwJqQk4,Flying Home During the Pandemic (Abu Dhabi to Frankfurt),2020-07-05 13:08:18+00:00
fCaCQC34HjU,14 Days on a CARGO SHIP During the Pandemic,2020-06-28 13:58:37+00:00
9ZzHt7sjI88,Living with a Family in a Mountain Village (5 WEEKS),2020-06-20 11:30:00+00:00
YKNnNX7QyJI,I Spent 24H on an Uninhabited Island (Rat-Infested),2020-06-14 12:58:02+00:00
72n7Sp2FLao,I Tried Fasting for Ramadan (Non-Muslim),2020-05-09 12:58:57+00:00
VZq8UT99E7s,Riding a Motorbike as a Woman in Yemen (SOLO!),2020-04-29 10:14:07+00:00
mT4GJ97JLg8,What We Eat on a Remote Island (COOKING VLOG),2020-04-19 11:00:20+00:00
ZMAnhTwLlng,Open Sea FISHING for Dinner on Remote Island,2020-04-17 11:00:13+00:00
O4agtiyYUxE,Catching LOBSTER for Dinner (Luxury?),2020-04-15 11:00:17+00:00
tUrnxYBsn00,How I Live on this Wild Island (SLEEPING OUTSIDE),2020-04-13 14:31:42+00:00
ZIJXHuQ1zB8,How We Catch Our Dinner on a Remote Island,2020-04-11 11:00:24+00:00
zHRVzbuDy9g,Our First Motorbike Trip on the Island Goes WRONG,2020-04-10 11:00:34+00:00
GJuRMB33Yrs,Surviving Extreme Rain in a Cheap Tent (Camera Broke),2020-04-07 11:00:06+00:00
rYGe50sBD8A,I Landed in Hospital,2020-04-06 11:00:32+00:00
a5tyZN7sRHw,Hiking Alone on a Yemeni Island (+Accident...),2020-04-04 11:00:00+00:00
ujpoMkaYGsQ,People from this Village HIKE to the Nearest Shop,2020-03-30 12:00:21+00:00
4mHxi_6dOYM,In the Beach Home of a Real Robinson Crusoe,2020-03-29 12:00:02+00:00
X92GL73DWVg,Is There COVID-19 on the Island? (Important UPDATE),2020-03-28 12:18:20+00:00
aYZMj88ZPGs,Inside a Remote Village (One Family Lives Here),2020-03-27 12:00:00+00:00
OjF1QNEX1NI,Boat Ride to Super Remote Village on a Beach,2020-03-26 12:00:20+00:00
oGzmCAZIRaw,Secret Cave with Human Bones on a Desert Island,2020-03-25 12:00:18+00:00
ZvHYa3DTEb4,Catching Sting Rays with Bare Hands (Dangerous!),2020-03-24 12:00:27+00:00
SMe2b7jAarQ,Our Remote Beach Camp on the Desert Island,2020-03-23 12:00:23+00:00
UN0IReSLUyI,My Corona Virus Remote Island &quot;Quarantine&quot; (Day 1),2020-03-22 12:00:17+00:00
EauZ-8sPjqU,Getting a Magical Thai Tattoo to Cure Anxiety (Sak Yant),2020-03-14 12:00:17+00:00
5bSnyzvORU4,ALL-GIRLS Trip in Saudi Arabia (WILD Camping) رحلة تخييم بناتية في السعودية,2020-03-07 10:00:10+00:00
DZQOgPHPbhA,Driving on the Deadliest Road in the Middle East (Saudi Arabia),2020-03-02 12:30:10+00:00
ZO5fLQc0b7I,Trekking to the Most Beautiful Wadi in the Middle East (SAUDI ARABIA),2020-02-27 13:00:13+00:00
8tR8F8qWgmc,Nobody Talks About THIS Saudi Arabia (FAIRYTALE VILLAGE),2020-02-17 09:06:16+00:00
2rrDfFRWmA4,My SCARIEST Experience in Saudi Arabia as a Traveler (RIYADH),2020-02-13 10:19:05+00:00
lCIOdy-LwXQ,THIS IS WHAT YOUNG SAUDI PEOPLE DO FOR FUN + Basic Arabic Communication,2020-01-31 12:04:21+00:00
7b4xmyQjdCo,I COUCHSURFED IN SAUDI ARABIA AS A WOMAN | Epic Saudi Hospitality,2020-01-25 10:00:00+00:00
yZhBMKx3dtw,How to be Fearless with the World Watching | Galaxy Note10+,2020-01-19 18:17:51+00:00
WGeg7zTexRs,YOU ARE (PASSPORT) PRIVILEGED | Comparing Strong &amp; Weak Passports,2020-01-16 12:30:01+00:00
h4pPIcA9jfI,INSANE 4X4 WILD CAMPING ROADTRIP IN OMAN,2020-01-12 10:03:28+00:00
zHvSn9pWrCM,FOREIGN GIRL BUYING A GOAT IN OMAN | NIZWA GOAT AUCTION,2019-12-29 15:47:31+00:00
P0GWGF_PzG0,I SWAM WITH WILD DOLPHINS IN OMAN (EPIC!) 😮🐬🇴🇲,2019-12-26 13:00:04+00:00
K3IZxWGb-Hc,I CAMPED ALONE AS A WOMAN IN OMAN | MIDDLE EAST ON A BUDGET ايفا زوبيك,2019-12-19 12:22:50+00:00
oYJjH6Wmel4,I STAYED WITH A BEDOUIN FAMILY IN THE DESERT IN OMAN |  ايفا زوبيك,2019-12-15 18:55:21+00:00
p6pMzOHAXyw,"EPIC KURDISH HOSPITALITY &amp; STREET FOOD IN SULY | SULEYMANIAH, IRAQI KURDISTAN",2019-12-12 13:30:02+00:00
Q6-AMsojq5w,MY CRAZY ROADTRIP IN IRAQ AS A FEMALE TRAVELLER,2019-12-08 10:53:38+00:00
XRB77YEf0Ic,"I Was AMAZED, traveling SOLO as a woman in ERBIL, IRAQI KURDISTAN",2019-12-04 13:30:04+00:00
qem9AayvrMk,Having Coffee with anti-ISIS Peshmerga Soldiers in Iraqi Kurdistan | Martyrs Cafe in Duhok,2019-11-20 13:00:15+00:00
P9ROLYxY45Y,I RAN MY 1ST MARATHON IN IRAQI KURDISTAN,2019-11-01 12:30:01+00:00
0JJM2SL3Hkc,These Are the Life Lessons I Learnt on my Round The World Trip,2019-10-28 13:00:00+00:00
zfl7ITJ8kGk,5 Reasons Why You Should Visit ARMENIA Right Now,2019-10-23 13:00:13+00:00
J5lUm-zFPVI,How Eating Bugs &amp; Worms in Mexico Taught Me a Huge Life Lesson,2019-10-11 04:35:48+00:00
ZTaoyJpr-YE,"ALEPPO, SYRIA | What&#39;s It Like to Be a Tourist in ALEPPO?",2019-09-14 14:21:56+00:00
_dR61b8U_Ac,SYRIA | What&#39;s It Like to be a Tourist in Damascus?,2019-08-27 12:30:02+00:00
1f8Rj9ok3jQ,"How to Survive 3 Nights in a SEAT on U.S. TRAINS, Solo | Amtrak California Zephyr",2019-08-22 13:42:42+00:00
0rLy27gIGNM,"Crossing the USA Border with Syrian, Yemeni, Iraqi Passport Stamps",2019-08-14 11:50:46+00:00
9FN26wdLKgE,K2: How This Girl Walked to the World&#39;s 2nd Tallest Mountain,2019-08-01 15:03:45+00:00
dghFFdiND0w,"In Pakistan, the Wildest, Highest &amp; NO-RULES Polo Festival | SHANDUR 2019",2019-07-15 12:45:02+00:00
8fM5ro_eCys,Never Knew Yemen Could Be Like This | Socotra Island 2019,2019-07-05 13:00:02+00:00
_5dx2z93EDk,Living ALONE on Yemen&#39;s Remote Socotra Island,2019-06-17 12:30:04+00:00
5T4fzqJAs_4,I Lost My Heart to Socotra Island | YEMEN 2019 | Trailer,2019-06-02 12:30:00+00:00
9UhPmVR2sO0,What the Wakhi People Taught Me about Life,2019-05-09 12:30:00+00:00
vKrXjNN3ozQ,I Trekked to a Secret Valley in Hunza (Scary Adventure),2019-05-02 12:30:02+00:00
01Q6hB2gUSg,"Why You Should Visit Skardu, Northern Pakistan",2019-04-19 12:30:00+00:00
MG00dpSEBAI,How to Make an Epic Travel Vlog with a Smartphone | Samsung Galaxy S10+,2019-04-15 13:00:01+00:00
AeSadjRblyM,Why Pakistan Can Become the #1 Travel Destination in the World,2019-04-04 11:12:33+00:00
ve1JKxggYtM,SKIING in PAKISTAN! I love this country 😍,2019-02-26 12:34:39+00:00
iuBtLUFTWEM,Most COMMON MYTHS About PAKISTAN - Are They True?,2019-02-11 13:07:35+00:00
hXWhcQw4e6o,Why This FOREIGN Girl Fell IN LOVE ❤️ With SINDH,2019-01-22 15:00:03+00:00
QaAYJctQ2a8,Pakistan’s REAL Culture Capital Is a Surprise?!,2019-01-17 15:00:02+00:00
xJj1KDbKLcI,FOREIGN Girl’s 1st Visit To HYDERABAD,2019-01-12 15:00:06+00:00
gC7JDU97ytM,I Had THIS MUCH Fun Conquering My FEARS in KARACHI,2019-01-07 19:46:32+00:00
