ids,titles,Date
McyfAxNhU1U,Why Are People Still Watching Our Channel?,2021-05-09 02:30:02+00:00
lcM_i9pcKwY,Republicans Pushing DANGEROUS Anti-Protest Bills,2021-05-09 01:00:07+00:00
kqVAfNMl3Js,Why Do You Do What You Do?,2021-05-09 00:15:01+00:00
ReiVSKbdlSo,Why is Right Wing Grifting So Much More Lucrative?,2021-05-08 22:45:00+00:00
nBi860Vr6Kg,"Newsmax ADMITS It Lied About 2020 Election, Apologizes!",2021-05-08 21:30:04+00:00
0uUhhaVa1Gc,"Mitt Romney Brutally Booed, Called &quot;Traitor,&quot; By Trumpist Republicans!",2021-05-08 20:00:01+00:00
CR8OAWTs3Zc,Do Anti-Vaxxers Think Their Friends Will Still Hang Out with Them?,2021-05-08 19:00:02+00:00
ZP9-0pn2EYE,Will Masks Become Seasonally Permanent?,2021-05-08 02:30:10+00:00
OKr8Q8pxMpU,Critical Race Theory Becomes New Front in Cultural Battle 5/7/21,2021-05-08 01:00:03+00:00
ISza7AH5KSM,Caller Uncomfortable Taking Mask Off Outdoors,2021-05-08 00:15:00+00:00
NygfISLZpmg,Cringe-Inducing &quot;Woke Test&quot; on Newsmax is Painful to Watch,2021-05-07 22:45:02+00:00
N4MGKv1WQEA,National Guard Soldier Charged in Trump Riots,2021-05-07 21:30:03+00:00
l13Oo7AoLP0,"They HATE Critical Race Theory, But Don&#39;t Know What It Is",2021-05-07 20:00:15+00:00
5RsFCVDeXLI,"Trump, Don Jr, Fox News MELT DOWN Over Trump Facebook Ban",2021-05-07 19:00:01+00:00
KJA4leendEc,Email is Destroying Your Productivity (Cal Newport Interview),2021-05-07 02:30:01+00:00
uwXKdeHD_2E,Closing in on COVID as Biden says LIFT Vaccine Patents 5/6/21,2021-05-07 01:00:10+00:00
iUigPezC8uk,"WOW: COVID Cases and Deaths Down 80+%, Vaccines WORK on Variants!",2021-05-07 00:15:01+00:00
URAGJuM68lk,HUMILIATING: Fox Host Reduced to Arguing with 11-Year-Old Kid,2021-05-06 22:45:01+00:00
tjRl2rqt96s,BREAKING: Biden Supports Lifting COVID Vaccine Patent Protection,2021-05-06 21:30:03+00:00
KMY4nravRoM,Caitlyn Jenner Fox News Interview Goes Horribly Wrong,2021-05-06 20:00:03+00:00
9o9wKhv0iUI,LIVE BREAKING: Joe Biden Makes a Major Announcement,2021-05-06 19:06:14+00:00
xrCIYFXADA0,Lunatic Mom Applauded for Delusional Anti-Mask Rant,2021-05-06 19:00:16+00:00
oZE6b-lUcaY,Rudy Giuliani Seems Guiltier Than Ever in Disastrous Interview,2021-05-06 02:30:17+00:00
G3LiAug4i_w,Vaccination Slowdown Raising Major Issues 5/5/21,2021-05-06 01:00:03+00:00
s4gAkTt9jrU,BREAKING: Donald Trump Facebook Ban EXTENDED,2021-05-06 00:15:01+00:00
ZvfM-jAvQCg,19 Dead in Colombian Protests Over Pandemic-Related Taxes,2021-05-05 22:45:00+00:00
lnjhdtaspBE,Anti-Vax SO DISASTROUS That Biden Announces New Strategy,2021-05-05 21:30:06+00:00
YRJ0P4TyMtY,OH NO: Trump&#39;s New &quot;Social Media Platform&quot; is Just a Blog,2021-05-05 20:00:18+00:00
k9RbOrWZQL4,What Happened to the Andrew Cuomo Scandal?,2021-05-05 19:00:18+00:00
cFsWOZp3jcM,Are NFTs the Next Big Thing?,2021-05-05 18:58:23+00:00
oZkl3fdXVZA,The Psychological Impact of the Coronavirus Pandemic (Daniel Goleman Interview),2021-05-05 02:30:04+00:00
